date ,open ,high,low,close,adj close,volume,day 
"Dec 20, 2023",138.73,138.87,136.55,136.9,133.92,"3,711,700",1072
"Dec 19, 2023",138,139.7,137.9,139.58,136.54,"2,834,600",1071
"Dec 18, 2023",139,139.15,137.4,137.72,134.72,"3,117,000",1070
"Dec 15, 2023",141.1,141.6,138.21,138.37,135.36,"5,679,900",1069
"Dec 14, 2023",139.7,142.2,139.45,141.14,138.06,"4,636,400",1068
"Dec 13, 2023",136,138.42,134.7,138.38,135.36,"3,531,700",1067
"Dec 12, 2023",136.91,136.91,135.23,135.66,132.7,"3,352,100",1066
"Dec 11, 2023",136.11,136.95,135.49,136.76,133.78,"3,571,700",1065
"Dec 8, 2023",135.23,136.4,135.1,135.19,132.24,"2,880,500",1064
"Dec 7, 2023",134.6,135.82,134.13,135.19,132.24,"3,939,200",1063
"Dec 6, 2023",133.24,133.99,132.29,133.38,130.47,"3,894,200",1062
"Dec 5, 2023",133.32,133.86,132.5,132.88,129.98,"2,997,800",1061
"Dec 4, 2023",134.22,136.24,133.19,133.71,130.8,"7,625,100",1060
"Dec 1, 2023",133.4,134.95,132.51,134.78,131.84,"4,593,700",1059
"Nov 30, 2023",132.21,133.96,130.39,133.81,130.89,"5,759,500",1058
"Nov 29, 2023",131.96,133.1,131.17,131.32,128.46,"2,918,900",1057
"Nov 28, 2023",131.33,131.8,130.22,131.67,128.8,"3,804,900",1056
"Nov 27, 2023",131.15,132.35,130.25,131.33,128.47,"3,736,700",1055
"Nov 24, 2023",130.5,131.47,129.76,131.46,128.6,"1,863,100",1054
"Nov 22, 2023",130.5,132.36,129.89,130.5,127.66,"3,587,900",1053
"Nov 21, 2023",130.22,130.87,128.71,130.8,127.95,"4,057,900",1052
"Nov 20, 2023",129.35,130.23,128.37,129.65,126.83,"5,810,200",1051
"Nov 17, 2023",130.38,131.09,128.9,129.89,127.06,"5,982,500",1050
"Nov 16, 2023",127.26,130.81,127.19,129.94,127.11,"12,033,200",1049
"Nov 15, 2023",126.08,131.53,124.88,130.46,127.62,"32,230,800",1048
"Nov 14, 2023",108.25,112.31,108.08,110.79,108.38,"7,656,100",1047
"Nov 13, 2023",108.72,108.83,107.13,107.3,103.89,"4,016,000",1046
"Nov 10, 2023",107.11,108.63,105.23,108.33,104.88,"6,235,800",1045
"Nov 9, 2023",110.31,110.31,106.33,106.79,103.39,"5,604,600",1044
"Nov 8, 2023",111.04,111.94,109.3,109.85,106.35,"4,514,000",1043
"Nov 7, 2023",110.83,112.67,110.8,111.35,107.81,"2,859,100",1042
"Nov 6, 2023",113.29,113.44,110.92,111.05,107.52,"3,696,200",1041
